x rho u p
1.267166042447e-01 9.999995688752e+03 5.101136953840e-07 9.999993964254e+03
1.279650436954e-01 9.999991072838e+03 1.056275882568e-06 9.999987501980e+03
1.292134831461e-01 9.999981623353e+03 2.174353492841e-06 9.999974272727e+03
1.304619225968e-01 9.999963041248e+03 4.373016424861e-06 9.999948257873e+03
1.317103620474e-01 9.999927591633e+03 8.567465947893e-06 9.999898628767e+03
1.329588014981e-01 9.999858746271e+03 1.671333752006e-05 9.999802246608e+03
1.342072409488e-01 9.999712887771e+03 3.397150674881e-05 9.999598049889e+03
1.354556803995e-01 9.999383489442e+03 7.294683286176e-05 9.999136911259e+03
1.367041198502e-01 9.998762144170e+03 1.464684362559e-04 9.998267085515e+03
1.379525593009e-01 9.997798227929e+03 2.605307781485e-04 9.996917751578e+03
1.392009987516e-01 9.996388588708e+03 4.273449364742e-04 9.994944642450e+03
1.404494382022e-01 9.994151240183e+03 6.921204252825e-04 9.991813463344e+03
1.416978776529e-01 9.989983554009e+03 1.185397809687e-03 9.985982185532e+03
1.429463171036e-01 9.981217775507e+03 2.223418227168e-03 9.973720764613e+03
1.441947565543e-01 9.964718720444e+03 4.179395554354e-03 9.950651134718e+03
1.454431960050e-01 9.938970641599e+03 7.237109962582e-03 9.914679099460e+03
1.466916354557e-01 9.904128691259e+03 1.138549168195e-02 9.866055846243e+03
1.479400749064e-01 9.861395683457e+03 1.649006617140e-02 9.806507383792e+03
1.491885143571e-01 9.812415510511e+03 2.236284472375e-02 9.738378997575e+03
1.504369538077e-01 9.758823541586e+03 2.881522900594e-02 9.663994229897e+03
1.516853932584e-01 9.701993958657e+03 3.568819787408e-02 9.585296424710e+03
1.529338327091e-01 9.642960798974e+03 4.286174653441e-02 9.503743126401e+03
1.541822721598e-01 9.582449055569e+03 5.025149331125e-02 9.420354496718e+03
1.554307116105e-01 9.520949711142e+03 5.780018734736e-02 9.335820535496e+03
1.566791510612e-01 9.458794816591e+03 6.546907913848e-02 9.250607173211e+03
1.579275905119e-01 9.396214545705e+03 7.323128910805e-02 9.165036655043e+03
1.591760299625e-01 9.333374582015e+03 8.106743528071e-02 9.079340150897e+03
1.604244694132e-01 9.270398680233e+03 8.896299069708e-02 8.993689512621e+03
1.616729088639e-01 9.207381950921e+03 9.690673201266e-02 8.908216005539e+03
1.629213483146e-01 9.144398932876e+03 1.048898023378e-01 8.823021720094e+03
1.641697877653e-01 9.081508843177e+03 1.129051050490e-01 8.738187011747e+03
1.654182272160e-01 9.018759236976e+03 1.209468823480e-01 8.653775693904e+03
1.666666666667e-01 8.956188679087e+03 1.290104076555e-01 8.569838829221e+03
1.679151061174e-01 8.893828737351e+03 1.370917558726e-01 8.486417557539e+03
1.691635455680e-01 8.831705483000e+03 1.451876303120e-01 8.403545223864e+03
1.704119850187e-01 8.769840625937e+03 1.532952317124e-01 8.321248988545e+03
1.716604244694e-01 8.708252379250e+03 1.614121585305e-01 8.239551053790e+03
1.729088639201e-01 8.646956122996e+03 1.695363304562e-01 8.158469605902e+03
1.741573033708e-01 8.585964918506e+03 1.776659292319e-01 8.078019545883e+03
1.754057428215e-01 8.525289910376e+03 1.857993524844e-01 7.998213061064e+03
1.766541822722e-01 8.464940643034e+03 1.939351774655e-01 7.919060075863e+03
1.779026217228e-01 8.404925311533e+03 2.020721324381e-01 7.840568609567e+03
